config,desi_full,full_mean,full_sig,desi_conn,conn_mean,conn_sig,valid
42,1.71489631e-03,2.00459530e-03,8.28040714e-04,-2.20063711e-03,-1.59104087e-03,7.58539706e-04,1
43,2.67723494e-03,2.34147934e-03,7.22726821e-04,-8.71499697e-04,-9.25375616e-04,6.38954206e-04,1
44,2.35755525e-02,1.99750683e-02,2.25501464e-03,4.41454831e-04,-2.64433934e-03,1.88288160e-03,1
45,1.03578531e-02,8.46790503e-03,1.76487326e-03,-2.49476237e-03,-3.88570839e-03,1.68918616e-03,1
46,5.10898359e-03,5.12317933e-03,8.99289052e-04,-3.82784251e-03,-3.46782158e-03,1.02697531e-03,1
47,7.44229186e-03,5.11664873e-03,7.70709421e-04,4.26776832e-05,-1.87634891e-03,6.76260934e-04,1
48,2.35121045e-02,2.09944540e-02,1.87721899e-03,1.97475699e-03,-1.17687096e-04,1.60911166e-03,1
49,1.14435003e-02,9.61178370e-03,1.22389368e-03,1.87635019e-04,-1.23456322e-03,1.03598533e-03,1
50,5.32964177e-03,5.25436335e-03,7.24648950e-04,-2.01043416e-03,-1.82937105e-03,6.02341990e-04,1
51,4.82600767e-03,4.15034494e-03,6.51350864e-04,-9.76856333e-04,-1.33538620e-03,6.00686519e-04,1
52,6.22106335e-03,6.03449928e-03,8.81294648e-04,-4.92180231e-04,-4.08907645e-04,8.65175983e-04,1
53,5.80692277e-03,4.97755811e-03,5.33081266e-04,6.30891117e-04,1.32154456e-04,5.18723464e-04,1
54,2.11938898e-02,1.99312173e-02,1.32855644e-03,1.25329251e-03,3.26342656e-04,1.16628068e-03,1
55,8.80478196e-03,7.88387048e-03,9.12247941e-04,-8.54333119e-04,-1.45520994e-03,8.04246992e-04,1
56,4.77319127e-03,4.35784674e-03,7.73588542e-04,-9.70134488e-04,-1.21862117e-03,6.84504492e-04,1
57,5.40581234e-03,4.32359547e-03,8.67363386e-04,1.19969852e-03,3.45130826e-04,8.80979348e-04,1
58,8.36615389e-03,8.21129106e-03,7.30932143e-04,-6.66128841e-04,-4.87461877e-04,5.93974826e-04,1
59,5.70291925e-03,4.90451398e-03,7.27930431e-04,5.86425843e-04,-3.16264400e-05,7.62389182e-04,1
60,5.27244320e-03,4.24977061e-03,6.49834779e-04,1.69316172e-03,9.11633454e-04,6.36654637e-04,1
61,1.88112320e-02,1.90742876e-02,9.96675502e-04,1.24299419e-04,7.50067913e-04,8.53060213e-04,1
62,8.87598360e-03,7.60595471e-03,9.47534993e-04,4.70533208e-04,-4.52470740e-04,8.94755480e-04,1
63,8.02618226e-03,7.73389529e-03,1.12635058e-03,-1.63293282e-03,-1.60518513e-03,9.63229915e-04,1
64,2.28847848e-03,3.38977861e-03,9.80346379e-04,-3.45484728e-03,-2.18668929e-03,9.33543772e-04,1
65,2.08474926e-03,1.72377292e-03,5.49966292e-04,-2.12136457e-03,-2.25469172e-03,4.28973384e-04,1
66,1.02350069e-02,8.65451143e-03,7.64182529e-04,1.20272412e-03,-4.42415061e-05,6.90252874e-04,1
67,4.43326232e-03,4.37674095e-03,6.67244544e-04,-6.83231090e-04,-5.59399467e-04,5.48114877e-04,1
68,2.52883492e-03,2.37124746e-03,5.49527351e-04,-1.05044656e-03,-9.66889698e-04,4.40764740e-04,1
69,7.81670330e-03,6.52907853e-03,9.08748103e-04,1.19015190e-03,1.25213442e-04,8.02947135e-04,1
70,4.81082217e-03,4.27951624e-03,6.77661259e-04,-2.78517303e-04,-5.26345583e-04,6.69010222e-04,1
71,2.11663330e-02,2.00648860e-02,1.30063149e-03,1.93926025e-03,1.13988070e-03,1.05240039e-03,1
72,8.88090148e-03,8.67293488e-03,8.88287861e-04,-6.46890664e-05,1.37237778e-05,7.34761897e-04,1
73,3.50970914e-03,3.91205342e-03,5.53798495e-04,-1.52009208e-03,-9.84545172e-04,4.38877584e-04,1
74,2.09691871e-03,2.00722677e-03,6.05064638e-04,-1.39567058e-03,-1.29136856e-03,5.52394473e-04,1
75,2.10585666e-02,1.99376698e-02,1.01858288e-03,2.45832619e-03,1.65299193e-03,7.79555984e-04,1
76,8.04651377e-03,7.32111468e-03,6.57377070e-04,-2.72244433e-04,-6.97768939e-04,5.67754785e-04,1
77,3.34968701e-03,3.37748253e-03,4.73060276e-04,-1.05328187e-03,-8.78788571e-04,3.52727994e-04,1
78,2.42545836e-03,2.34391390e-03,5.20759927e-04,-4.40298593e-04,-3.14353944e-04,4.56707821e-04,1
79,2.88191345e-03,2.52461408e-03,4.25370254e-04,-3.30569249e-04,-4.84741871e-04,3.90337145e-04,1
80,6.94167646e-03,7.36235409e-03,7.23454969e-04,-1.09697515e-03,-3.67290159e-04,6.08567957e-04,1
81,3.56059315e-03,3.41435949e-03,5.51590778e-04,-5.62269130e-04,-5.52672241e-04,4.66939784e-04,1
82,2.10991267e-03,2.18468203e-03,6.27041962e-04,-4.75737680e-04,-1.84346440e-04,6.04863803e-04,1
83,8.32120828e-03,8.15645438e-03,7.08200842e-04,-8.42421072e-05,9.80289273e-05,6.87749974e-04,1
84,3.85151615e-03,3.04510913e-03,7.08243853e-04,-6.38144910e-04,-1.25070380e-03,6.93683855e-04,1
85,1.46346596e-03,1.30675963e-03,8.23515816e-04,-1.48898318e-03,-1.39105004e-03,7.40025929e-04,1
