config,r12,r13,r14,r23,r24,r34
239,36.875,36.875,59.375,48.125,59.375,59.375
240,36.875,36.875,59.375,59.375,36.875,36.875
241,36.875,36.875,59.375,59.375,36.875,48.125
242,36.875,36.875,59.375,59.375,36.875,59.375
243,36.875,36.875,59.375,59.375,48.125,48.125
244,36.875,36.875,59.375,59.375,48.125,59.375
245,36.875,36.875,59.375,59.375,59.375,59.375
246,36.875,48.125,48.125,48.125,48.125,36.875
247,36.875,48.125,48.125,48.125,48.125,48.125
248,36.875,48.125,48.125,48.125,48.125,59.375
249,36.875,48.125,48.125,48.125,59.375,36.875
250,36.875,48.125,48.125,48.125,59.375,48.125
251,36.875,48.125,48.125,48.125,59.375,59.375
252,36.875,48.125,48.125,59.375,59.375,36.875
253,36.875,48.125,48.125,59.375,59.375,48.125
254,36.875,48.125,48.125,59.375,59.375,59.375
255,36.875,48.125,59.375,48.125,59.375,48.125
256,36.875,48.125,59.375,48.125,59.375,59.375
257,36.875,48.125,59.375,59.375,48.125,36.875
258,36.875,48.125,59.375,59.375,48.125,48.125
259,36.875,48.125,59.375,59.375,48.125,59.375
260,36.875,48.125,59.375,59.375,59.375,36.875
261,36.875,48.125,59.375,59.375,59.375,48.125
262,36.875,48.125,59.375,59.375,59.375,59.375
263,36.875,59.375,59.375,59.375,59.375,36.875
264,36.875,59.375,59.375,59.375,59.375,48.125
265,36.875,59.375,59.375,59.375,59.375,59.375
266,48.125,48.125,48.125,48.125,48.125,48.125
267,48.125,48.125,48.125,48.125,48.125,59.375
268,48.125,48.125,48.125,48.125,59.375,59.375
269,48.125,48.125,48.125,59.375,59.375,59.375
270,48.125,48.125,59.375,48.125,59.375,59.375
271,48.125,48.125,59.375,59.375,48.125,48.125
272,48.125,48.125,59.375,59.375,48.125,59.375
273,48.125,48.125,59.375,59.375,59.375,59.375
274,48.125,59.375,59.375,59.375,59.375,48.125
275,48.125,59.375,59.375,59.375,59.375,59.375
276,59.375,59.375,59.375,59.375,59.375,59.375
