config,r12,r13,r14,r23,r24,r34
127,25.625,36.875,36.875,48.125,59.375,48.125
128,25.625,36.875,36.875,48.125,59.375,59.375
129,25.625,36.875,36.875,59.375,59.375,25.625
130,25.625,36.875,36.875,59.375,59.375,36.875
131,25.625,36.875,36.875,59.375,59.375,48.125
132,25.625,36.875,36.875,59.375,59.375,59.375
133,25.625,36.875,48.125,36.875,48.125,36.875
134,25.625,36.875,48.125,36.875,48.125,48.125
135,25.625,36.875,48.125,36.875,48.125,59.375
136,25.625,36.875,48.125,36.875,59.375,36.875
137,25.625,36.875,48.125,36.875,59.375,48.125
138,25.625,36.875,48.125,36.875,59.375,59.375
139,25.625,36.875,48.125,48.125,36.875,25.625
140,25.625,36.875,48.125,48.125,36.875,36.875
141,25.625,36.875,48.125,48.125,36.875,48.125
142,25.625,36.875,48.125,48.125,36.875,59.375
143,25.625,36.875,48.125,48.125,48.125,25.625
144,25.625,36.875,48.125,48.125,48.125,36.875
145,25.625,36.875,48.125,48.125,48.125,48.125
146,25.625,36.875,48.125,48.125,48.125,59.375
147,25.625,36.875,48.125,48.125,59.375,25.625
148,25.625,36.875,48.125,48.125,59.375,36.875
149,25.625,36.875,48.125,48.125,59.375,48.125
150,25.625,36.875,48.125,48.125,59.375,59.375
151,25.625,36.875,48.125,59.375,36.875,25.625
152,25.625,36.875,48.125,59.375,36.875,36.875
153,25.625,36.875,48.125,59.375,36.875,48.125
154,25.625,36.875,48.125,59.375,36.875,59.375
155,25.625,36.875,48.125,59.375,48.125,25.625
156,25.625,36.875,48.125,59.375,48.125,36.875
157,25.625,36.875,48.125,59.375,48.125,48.125
158,25.625,36.875,48.125,59.375,48.125,59.375
159,25.625,36.875,48.125,59.375,59.375,25.625
160,25.625,36.875,48.125,59.375,59.375,36.875
161,25.625,36.875,48.125,59.375,59.375,48.125
162,25.625,36.875,48.125,59.375,59.375,59.375
163,25.625,36.875,59.375,36.875,59.375,36.875
164,25.625,36.875,59.375,36.875,59.375,48.125
165,25.625,36.875,59.375,36.875,59.375,59.375
166,25.625,36.875,59.375,48.125,48.125,36.875
167,25.625,36.875,59.375,48.125,48.125,48.125
168,25.625,36.875,59.375,48.125,48.125,59.375
169,25.625,36.875,59.375,48.125,59.375,36.875
170,25.625,36.875,59.375,48.125,59.375,48.125
171,25.625,36.875,59.375,48.125,59.375,59.375
172,25.625,36.875,59.375,59.375,36.875,25.625
173,25.625,36.875,59.375,59.375,36.875,36.875
174,25.625,36.875,59.375,59.375,36.875,48.125
175,25.625,36.875,59.375,59.375,36.875,59.375
176,25.625,36.875,59.375,59.375,48.125,25.625
177,25.625,36.875,59.375,59.375,48.125,36.875
178,25.625,36.875,59.375,59.375,48.125,48.125
179,25.625,36.875,59.375,59.375,48.125,59.375
180,25.625,36.875,59.375,59.375,59.375,25.625
181,25.625,36.875,59.375,59.375,59.375,36.875
182,25.625,36.875,59.375,59.375,59.375,48.125
183,25.625,36.875,59.375,59.375,59.375,59.375
184,25.625,48.125,48.125,48.125,48.125,25.625
185,25.625,48.125,48.125,48.125,48.125,36.875
186,25.625,48.125,48.125,48.125,48.125,48.125
187,25.625,48.125,48.125,48.125,48.125,59.375
188,25.625,48.125,48.125,48.125,59.375,25.625
189,25.625,48.125,48.125,48.125,59.375,36.875
190,25.625,48.125,48.125,48.125,59.375,48.125
191,25.625,48.125,48.125,48.125,59.375,59.375
192,25.625,48.125,48.125,59.375,59.375,25.625
193,25.625,48.125,48.125,59.375,59.375,36.875
194,25.625,48.125,48.125,59.375,59.375,48.125
195,25.625,48.125,48.125,59.375,59.375,59.375
196,25.625,48.125,59.375,48.125,59.375,36.875
197,25.625,48.125,59.375,48.125,59.375,48.125
198,25.625,48.125,59.375,48.125,59.375,59.375
199,25.625,48.125,59.375,59.375,48.125,25.625
200,25.625,48.125,59.375,59.375,48.125,36.875
